event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
IRN35961,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Military Forces of Iran (1989-),,1,18,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 13,35.7062,51.4948,2,Vahid Online,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) targeted unspecified Iranian military installations in the mountains in the area of Tehran - District 13 (Tehran, Tehran). Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. Casualties unknown. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting.",0,US-Iran regional conflict,1773059279,,,,
IRN35962,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),,8,Military Forces of Iran (1989-),,1,18,,364,Middle East,Iran,Bushehr,Dashti,Central,Khowrmuj,28.6543,51.3800,2,Vahid Online,New media,"On 4 March 2026, US forces (coded as air/drone strikes by default) targeted an Iranian launcher along the main road in the region of Khowrmuj (Dashti, Bushehr). Israeli forces were excluded as actors in this event because the reported location falls outside the declared Israeli strike zones at the time of reporting. Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35963,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 4,35.7529,51.5210,1,Vahid Online,New media,"On 4 March 2026, Israeli forces targeted unspecified targets in Tehran - District 4 (Tehran, Tehran) (coded as air/drone strikes by default). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35964,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 22,35.7415,51.2055,1,Mamlekate,New media,"On 4 March 2026, Israeli forces targeted the city of Tehran - District 22 (Tehran, Tehran), near the Olympic Village where fire were seen above the mountains (coded as air/drone strikes by default). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35967,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 8,35.7255,51.4907,1,Vahid Online,New media,"On 4 March 2026, Israeli forces targeted unspecified targets in Tehran - District 8 (Tehran, Tehran) (coded as air/drone strikes by default). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35968,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Military Forces of Iran (1989-),Military Forces of Iran (1989-) Quds Force; Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps; Military Forces of Iran (1989-) Basij Force,1,18,,364,Middle East,Iran,Tehran,Pakdasht,Central,Parchin,35.5282,51.7588,1,Vahid Online,New media,"On 4 March 2026, Israeli forces targeted the Parchin military complex in Parchin (Central, Pakdasht) (coded as air/drone strikes by default), claiming that it housed the headquarters of the IRGC, the Quds Force, and the Basij Resistance Force. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35969,2026-03-04,2026,1,Strategic developments,Strategic developments,Disrupted weapons use,Police Forces of Iran (1989-) Ministry of Intelligence,,1,Unidentified Armed Group (Iran),,3,13,,364,Middle East,Iran,Tehran,Tehran,,Tehran,35.6944,51.4215,1,Islamic Republic News Agency,National,"Weapons seizure: On 4 March 2026, Iranian Ministry of Intelligence announced a seizure of a weapons and equipment cache allegedly belonging to an 'enemy-mercenary' in Tehran (Tehran, Tehran). The seized equipment included 11 Kalashnikov assault rifles, large quantities of ammunition and related equipment, along with large amounts of foreign currency and a Starlink device.",0,US-Iran regional conflict,1772716448,,,,
IRN35970,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,West Azerbaijan,Urumia,Central,Orumiyeh,37.5527,45.0761,1,Islamic Republic News Agency,National,"On 4 March 2026, according to Iranian authorities Israeli forces targeted a girls' school in Orumiyeh (Urumia, West Azerbaijan), heavily damaging the building but resulting in no casualties. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. No casualties. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting.",0,US-Iran regional conflict,1773059279,,,,
IRN35971,2026-03-04,2026,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Iran (1989-) Islamic Republic of Iran Air Force,,1,Military Forces of Israel (2022-),,8,18,,364,Middle East,Iran,Fars,Jahrom,Central,Jahrom,28.5119,53.5838,1,FARS News Agency (Iran),National,"Interception: On 4 March 2026, Iranian authorities claimed that Iranian Air Defense Forces intercepted and shot down an Israeli Hermes 900 reconnaissance drone over Jahrom city (Jahrom, Fars). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026.",0,US-Iran regional conflict,1772716448,,,,
IRN35972,2026-03-04,2026,1,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,1,Military Forces of Israel (2022-),,8,18,,364,Middle East,Iran,Alborz,Karaj,Central,Karaj,35.8327,50.9916,2,FARS News Agency (Iran),National,"Interception: On 4 March 2026, Iranian authorities claimed that IRGC intercepted and shot down an Israeli Hermes 900 reconnaissance drone over Alborz province (coded to Karaj (Karaj, Alborz)). Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026.",0,US-Iran regional conflict,1772716448,,,,
